Chart Week,Position,Artist,Title,Weeks on Chart,Peak Position,Last Position
2021-10-23,41,Justin Bieber Featuring Daniel Caesar & Giveon,Peaches,30,1,39
2021-10-23,42,Olivia Rodrigo,Deja Vu,28,3,31
2021-10-23,43,Chris Stapleton,You Should Probably Leave,15,43,51
2021-10-23,44,THE ANXIETY: WILLOW & Tyler Cole,Meet Me At Our Spot,5,44,47
2021-10-23,45,Luke Combs,Cold As You,11,45,53
2021-10-23,46,Capella Grey,Gyalis,11,38,38
2021-10-23,47,Dua Lipa,Love Again,13,41,41
2021-10-23,48,Marshmello X Jonas Brothers,Leave Before You Love Me,21,19,40
2021-10-23,49,Baby Keem & Kendrick Lamar,Family Ties,7,18,46
2021-10-23,50,Kanye West,Hurricane,7,6,44
2021-10-23,51,"Tainy, Bad Bunny & Julieta Venegas",Lo Siento BB:/,1,51,NULL
2021-10-23,52,Normani Featuring Cardi B,Wild Side,13,14,48
2021-10-23,53,Don Toliver Featuring Travis Scott,Flocky Flocky,1,53,NULL
2021-10-23,54,Chloe,Have Mercy,5,28,50
2021-10-23,55,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,Thinking 'Bout You,9,55,57
2021-10-23,56,"Yung Bleu, Chris Brown & 2 Chainz",Baddest,11,56,56
2021-10-23,57,Roddy Ricch,Late At Night,19,20,49
2021-10-23,58,Sleepy Hallow,2055,13,51,63
2021-10-23,59,BIA Featuring Nicki Minaj,Whole Lotta Money,14,16,52
2021-10-23,60,Kane Brown X blackbear,Memory,14,50,68
2021-10-23,61,Ivan Cornejo,Esta Danada,2,61,96
2021-10-23,62,Kenny Chesney,Knowing You,9,62,67
2021-10-23,63,Doja Cat,Woman,11,62,62
2021-10-23,64,Zac Brown Band,Same Boat,4,64,77
2021-10-23,65,Blxst & Tyga Featuring Ty Dolla $ign,Chosen,3,65,80
2021-10-23,66,Gunna & Future,Too Easy,3,38,59
2021-10-23,67,Aventura x Bad Bunny,Volvi,11,22,73
2021-10-23,68,Adele,Easy On Me,1,68,NULL
2021-10-23,69,Eslabon Armado Featuring DannyLux,Jugaste y Sufri,2,69,75
2021-10-23,70,Rauw Alejandro,Todo de Ti,20,32,74
2021-10-23,71,Megan Thee Stallion,Thot Shit,18,16,70
2021-10-23,72,Morgan Wallen,Sand In My Boots,13,32,94
2021-10-23,73,Chase Rice Featuring Florida Georgia Line,Drinkin' Beer. Talkin' God. Amen.,20,24,71
2021-10-23,74,Drake,No Friends In The Industry,6,11,64
2021-10-23,75,Realestk,WFM,1,75,NULL
2021-10-23,76,Bad Bunny,Yonaguni,19,10,82
2021-10-23,77,Drake,Champagne Poetry,6,4,65
2021-10-23,78,Kane Brown,One Mississippi,3,73,92
2021-10-23,79,Doja Cat,Get Into It (Yuh),10,68,85
2021-10-23,80,Scotty McCreery,You Time,11,50,54
2021-10-23,81,Joyner Lucas & J. Cole,Your Heart,3,32,61
2021-10-23,82,Michael Ray,Whiskey And Rain,2,82,97
2021-10-23,83,Drake Featuring Lil Durk & Giveon,In The Bible,6,7,79
2021-10-23,84,Shawn Mendes & Tainy,Summer Of Love,8,48,84
2021-10-23,85,42 Dugg Featuring Future,Maybach,3,68,NULL
2021-10-23,86,Jon Pardi,Tequila Little Time,1,86,NULL
2021-10-23,87,Luke Bryan,Waves,17,24,87
2021-10-23,88,Jimmie Allen & Brad Paisley,Freedom Was A Highway,1,88,NULL
2021-10-23,89,YoungBoy Never Broke Again,Nevada,3,58,86
2021-10-23,90,Lady A,Like A Lady,1,90,NULL
2021-10-23,91,Oliver Tree,Life Goes On,1,91,NULL
2021-10-23,92,Pop Smoke Featuring Chris Brown,Woo Baby,2,64,NULL
2021-10-23,93,YoungBoy Never Broke Again,Life Support,5,48,88
2021-10-23,94,Cody Johnson,'Til You Can't,1,94,NULL
2021-10-23,95,Jonas Brothers,Who's In Your Head,1,95,NULL
2021-10-23,96,Doja Cat,Ain't Shit,13,24,NULL
2021-10-23,97,Priscilla Block,Just About Over You,1,97,NULL
2021-10-23,98,Giveon,For Tonight,2,91,NULL
2021-10-23,99,Kanye West,Praise God,3,20,NULL
2021-10-23,100,YoungBoy Never Broke Again,Bad Morning,3,28,81
